epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8477,1.2916,3.19082,1.256,0.53987,0.74762,0.63603,0.38177,1.23069,1.72405,1.25333,0.000552436,0.000552436,0.000552436
2,80.3663,1.22962,2.24377,1.18147,0.44327,0.85787,0.67781,0.39378,1.07727,1.88606,1.10836,0.00106422,0.00106422,0.00106422
3,118.49,1.30476,2.07296,1.23897,0.72252,0.89667,0.88244,0.65126,1.02193,1.31022,1.13998,0.001532,0.001532,0.001532
4,156.244,1.08184,1.93365,1.08303,0.86616,0.81744,0.92223,0.70304,0.94705,1.29676,1.10978,0.00146896,0.00146896,0.00146896
5,194.279,1.12484,1.62681,1.15247,0.73889,0.97222,0.92675,0.61369,1.05299,3.89763,1.1811,0.00140295,0.00140295,0.00140295
6,232.621,1.2015,1.57834,1.20272,0.86267,0.94,0.9475,0.69776,0.9658,1.87205,1.09155,0.00133693,0.00133693,0.00133693
7,270.728,1.17147,1.57416,1.15006,0.90662,1,0.98718,0.73427,0.92746,1.82817,1.07119,0.00127092,0.00127092,0.00127092
8,308.173,1.08993,1.43367,1.07393,0.89111,0.98,0.98806,0.71568,0.98509,1.83104,1.11621,0.00120491,0.00120491,0.00120491
9,347.026,1.04792,1.35115,1.07748,0.93799,0.97825,0.98885,0.76154,0.92462,1.57769,1.07864,0.00113889,0.00113889,0.00113889
10,384.757,1.05599,1.27985,1.08521,0.94856,0.94,0.96489,0.71867,1.00672,1.36066,1.09526,0.00107288,0.00107288,0.00107288
11,422.394,1.02207,1.28918,1.0646,0.95721,0.98598,0.99032,0.74113,0.93358,1.27007,1.08762,0.00100687,0.00100687,0.00100687
12,460.527,1.11458,1.25043,1.17858,0.90812,1,0.97528,0.72204,0.95008,1.64002,1.07593,0.000940855,0.000940855,0.000940855
13,498.172,0.94828,1.1818,1.03669,0.90338,0.98,0.95534,0.71846,0.93631,1.38849,1.08224,0.000874842,0.000874842,0.000874842
14,535.895,1.02183,1.18237,1.05503,0.98008,1,0.995,0.78468,0.80916,1.18126,1.02007,0.000808828,0.000808828,0.000808828
15,573.75,1.02172,1.10372,1.09071,0.99106,1,0.995,0.79026,0.81718,1.15212,1.00585,0.000742815,0.000742815,0.000742815
16,611.705,0.95965,0.96053,1.08022,0.99462,0.97869,0.99352,0.76855,0.88602,1.01332,1.02404,0.000676802,0.000676802,0.000676802
17,649.733,0.89472,0.85043,1.02762,0.981,0.97633,0.99423,0.76842,0.88067,1.0101,1.02116,0.000610789,0.000610789,0.000610789
18,688.27,0.84429,0.78228,1.00399,0.99058,1,0.995,0.78076,0.83828,1.10135,1.02869,0.000544776,0.000544776,0.000544776
19,726.53,0.88332,0.82297,1.03935,0.99009,1,0.995,0.78322,0.83586,0.81731,1.02903,0.000478762,0.000478762,0.000478762
20,764.456,0.8049,0.73183,1.00978,0.99359,1,0.995,0.80516,0.81811,0.7754,1.01737,0.000412749,0.000412749,0.000412749
21,802.395,0.81884,0.76161,0.98415,0.99553,1,0.995,0.8051,0.80807,0.81362,1.00043,0.000346736,0.000346736,0.000346736
22,840.427,0.77923,0.73224,0.95662,0.98657,1,0.995,0.81857,0.78786,0.8847,0.98994,0.000280723,0.000280723,0.000280723
23,878.929,0.81499,0.73244,0.99972,0.98914,1,0.995,0.80927,0.78855,0.87024,0.98525,0.00021471,0.00021471,0.00021471
24,917.174,0.74833,0.69394,0.96217,0.98987,0.99635,0.995,0.80407,0.79095,0.87544,0.97976,0.000148696,0.000148696,0.000148696
25,955.337,0.74322,0.65455,0.94206,0.99802,0.99605,0.995,0.80449,0.78052,0.91382,0.97408,8.26832e-05,8.26832e-05,8.26832e-05
