epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7025,1.03478,3.31224,1.55755,0.00484,1,0.45429,0.30124,0.59902,2.83309,1.27737,0.000542744,0.000542744,0.000542744
2,20.1483,1.01819,3.26302,1.61853,0.00483,1,0.30313,0.1663,0.67728,2.79397,1.33054,0.000989668,0.000989668,0.000989668
3,29.3383,0.87459,3.08715,1.4494,0.16876,0.73668,0.32242,0.1398,1.5214,14.9776,2.77288,0.00132657,0.00132657,0.00132657
4,38.3601,1.095,2.52528,1.6313,0.16876,0.73668,0.32242,0.1398,1.5214,14.9776,2.77288,0.0011719,0.0011719,0.0011719
5,47.584,1.01966,2.35634,1.60244,0.70833,0.43651,0.62065,0.38787,1.27407,15.9201,2.26655,0.00100687,0.00100687,0.00100687
6,56.9629,0.94247,2.09165,1.57765,0.52451,0.89914,0.82676,0.52586,1.02614,2.39653,1.69508,0.000841835,0.000841835,0.000841835
7,66.0832,0.8531,1.69608,1.41357,0.52451,0.89914,0.82676,0.52586,1.02614,2.39653,1.69508,0.000676802,0.000676802,0.000676802
8,75.2281,0.7932,1.65265,1.39834,0.63594,0.86243,0.78917,0.61766,0.94051,2.22904,1.56252,0.000511769,0.000511769,0.000511769
9,84.4158,0.74995,1.60274,1.32814,0.75726,0.94327,0.87731,0.71182,0.83687,1.81373,1.504,0.000346736,0.000346736,0.000346736
10,93.4902,0.64546,1.50586,1.2742,0.75726,0.94327,0.87731,0.71182,0.83687,1.81373,1.504,0.000181703,0.000181703,0.000181703
